"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,16,717,715,2,1055,1040,15,"UA",799,"N508UA","JFK","SFO",369,2586,7,15,2013-01-16 07:00:00
2013,1,16,734,730,4,1120,1115,5,"VX",11,"N844VA","JFK","SFO",366,2586,7,30,2013-01-16 07:00:00
2013,1,16,748,745,3,1131,1125,6,"AA",59,"N352AA","JFK","SFO",364,2586,7,45,2013-01-16 07:00:00
2013,1,16,1028,1030,-2,1416,1415,1,"VX",23,"N842VA","JFK","SFO",377,2586,10,30,2013-01-16 10:00:00
2013,1,16,1030,1031,-1,1417,1403,14,"B6",641,"N796JB","JFK","SFO",374,2586,10,31,2013-01-16 10:00:00
2013,1,16,1033,1030,3,1437,1355,42,"AA",179,"N395AA","JFK","SFO",384,2586,10,30,2013-01-16 10:00:00
2013,1,16,1054,1100,-6,1430,1425,5,"UA",642,"N518UA","JFK","SFO",369,2586,11,0,2013-01-16 11:00:00
2013,1,16,1529,1530,-1,1921,1910,11,"AA",85,"N388AA","JFK","SFO",374,2586,15,30,2013-01-16 15:00:00
2013,1,16,1653,1700,-7,2115,2049,26,"DL",31,"N727TW","JFK","SFO",394,2586,17,0,2013-01-16 17:00:00
2013,1,16,1721,1725,-4,2117,2050,27,"UA",512,"N554UA","JFK","SFO",391,2586,17,25,2013-01-16 17:00:00
2013,1,16,1746,1745,1,2140,2120,20,"AA",177,"N335AA","JFK","SFO",381,2586,17,45,2013-01-16 17:00:00
2013,1,16,1900,1900,0,2309,2301,8,"DL",1465,"N717TW","JFK","SFO",378,2586,19,0,2013-01-16 19:00:00
2013,1,17,601,600,1,945,925,20,"UA",303,"N510UA","JFK","SFO",380,2586,6,0,2013-01-17 06:00:00
2013,1,17,722,715,7,1110,1040,30,"UA",799,"N517UA","JFK","SFO",384,2586,7,15,2013-01-17 07:00:00
2013,1,17,746,745,1,1135,1125,10,"AA",59,"N352AA","JFK","SFO",386,2586,7,45,2013-01-17 07:00:00
2013,1,17,754,800,-6,1139,1125,14,"UA",397,"N512UA","JFK","SFO",369,2586,8,0,2013-01-17 08:00:00
2013,1,17,1425,1429,-4,1758,1754,4,"UA",257,"N508UA","JFK","SFO",364,2586,14,29,2013-01-17 14:00:00
2013,1,17,1529,1530,-1,1912,1910,2,"AA",85,"N374AA","JFK","SFO",363,2586,15,30,2013-01-17 15:00:00
2013,1,17,1827,1830,-3,2231,2202,29,"UA",272,"N557UA","JFK","SFO",353,2586,18,30,2013-01-17 18:00:00
2013,1,18,713,715,-2,1048,1040,8,"UA",799,"N517UA","JFK","SFO",357,2586,7,15,2013-01-18 07:00:00
2013,1,18,1038,1031,7,1408,1403,5,"B6",641,"N639JB","JFK","SFO",363,2586,10,31,2013-01-18 10:00:00
2013,1,18,1449,1430,19,1819,1815,4,"DL",2126,"N710TW","JFK","SFO",332,2586,14,30,2013-01-18 14:00:00
2013,1,18,1643,1530,73,2004,1910,54,"AA",85,"N374AA","JFK","SFO",352,2586,15,30,2013-01-18 15:00:00
2013,1,18,1709,1630,39,2036,2020,16,"VX",27,"N849VA","JFK","SFO",354,2586,16,30,2013-01-18 16:00:00
2013,1,18,1722,1725,-3,2051,2050,1,"UA",512,"N508UA","JFK","SFO",352,2586,17,25,2013-01-18 17:00:00
2013,1,19,1605,1530,35,1933,1910,23,"AA",85,"N343AA","JFK","SFO",361,2586,15,30,2013-01-19 15:00:00
2013,1,19,1833,1700,93,2143,2049,54,"DL",31,"N722TW","JFK","SFO",349,2586,17,0,2013-01-19 17:00:00
2013,1,20,556,559,-3,931,930,1,"UA",691,"N502UA","JFK","SFO",373,2586,5,59,2013-01-20 05:00:00
2013,1,20,756,800,-4,1127,1125,2,"UA",397,"N505UA","JFK","SFO",372,2586,8,0,2013-01-20 08:00:00
2013,1,20,1029,1031,-2,1414,1403,11,"B6",641,"N821JB","JFK","SFO",374,2586,10,31,2013-01-20 10:00:00
2013,1,20,1052,1100,-8,1426,1425,1,"UA",642,"N532UA","JFK","SFO",365,2586,11,0,2013-01-20 11:00:00
2013,1,20,1423,1430,-7,1759,1755,4,"UA",560,"N508UA","JFK","SFO",358,2586,14,30,2013-01-20 14:00:00
2013,1,20,1429,1430,-1,1816,1815,1,"DL",2126,"N713TW","JFK","SFO",364,2586,14,30,2013-01-20 14:00:00
2013,1,20,1717,1725,-8,2053,2050,3,"UA",512,"N557UA","JFK","SFO",372,2586,17,25,2013-01-20 17:00:00
2013,1,20,1733,1530,123,2118,1910,128,"AA",85,"N349AA","JFK","SFO",376,2586,15,30,2013-01-20 15:00:00
2013,1,20,1822,1830,-8,2222,2202,20,"UA",272,"N525UA","JFK","SFO",371,2586,18,30,2013-01-20 18:00:00
2013,1,20,1943,1950,-7,2337,2335,2,"B6",645,"N809JB","JFK","SFO",376,2586,19,50,2013-01-20 19:00:00
2013,1,21,712,715,-3,1043,1040,3,"UA",799,"N510UA","JFK","SFO",365,2586,7,15,2013-01-21 07:00:00
2013,1,21,1531,1430,61,1843,1815,28,"DL",2126,"N710TW","JFK","SFO",345,2586,14,30,2013-01-21 14:00:00
2013,1,21,1641,1530,71,1951,1910,41,"AA",85,"N352AA","JFK","SFO",349,2586,15,30,2013-01-21 15:00:00
2013,1,21,1914,1855,19,2330,2245,45,"VX",29,"N627VA","JFK","SFO",354,2586,18,55,2013-01-21 18:00:00
2013,1,21,2046,1745,181,17,2120,177,"AA",177,"N344AA","JFK","SFO",345,2586,17,45,2013-01-21 17:00:00
2013,1,22,1050,1030,20,1405,1355,10,"AA",179,"N348AA","JFK","SFO",349,2586,10,30,2013-01-22 10:00:00
2013,1,22,1440,1430,10,1830,1815,15,"DL",2126,"N723TW","JFK","SFO",365,2586,14,30,2013-01-22 14:00:00
2013,1,22,1541,1530,11,1919,1910,9,"AA",85,"N391AA","JFK","SFO",367,2586,15,30,2013-01-22 15:00:00
2013,1,22,1824,1830,-6,2211,2202,9,"UA",272,"N532UA","JFK","SFO",369,2586,18,30,2013-01-22 18:00:00
2013,1,23,545,600,-15,948,925,23,"UA",303,"N554UA","JFK","SFO",382,2586,6,0,2013-01-23 06:00:00
2013,1,23,658,700,-2,1057,1045,12,"DL",1865,"N723TW","JFK","SFO",368,2586,7,0,2013-01-23 07:00:00
2013,1,23,709,715,-6,1053,1040,13,"UA",799,"N512UA","JFK","SFO",375,2586,7,15,2013-01-23 07:00:00
2013,1,23,757,800,-3,1132,1125,7,"UA",397,"N510UA","JFK","SFO",373,2586,8,0,2013-01-23 08:00:00
2013,1,23,1029,1030,-1,1404,1355,9,"AA",179,"N380AA","JFK","SFO",371,2586,10,30,2013-01-23 10:00:00
2013,1,23,1030,1031,-1,1413,1403,10,"B6",641,"N632JB","JFK","SFO",377,2586,10,31,2013-01-23 10:00:00
2013,1,23,1438,1430,8,1835,1815,20,"DL",2126,"N706TW","JFK","SFO",386,2586,14,30,2013-01-23 14:00:00
2013,1,23,1551,1530,21,1943,1910,33,"AA",85,"N393AA","JFK","SFO",382,2586,15,30,2013-01-23 15:00:00
2013,1,23,1601,1429,92,1920,1754,86,"UA",257,"N508UA","JFK","SFO",360,2586,14,29,2013-01-23 14:00:00
2013,1,23,1650,1700,-10,2050,2049,1,"DL",31,"N727TW","JFK","SFO",384,2586,17,0,2013-01-23 17:00:00
2013,1,23,1748,1725,23,2132,2050,42,"UA",512,"N532UA","JFK","SFO",383,2586,17,25,2013-01-23 17:00:00
2013,1,23,1824,1830,-6,2222,2202,20,"UA",272,"N525UA","JFK","SFO",383,2586,18,30,2013-01-23 18:00:00
2013,1,23,1857,1900,-3,2307,2301,6,"DL",1465,"N722TW","JFK","SFO",380,2586,19,0,2013-01-23 19:00:00
2013,1,23,1857,1855,2,2252,2245,7,"VX",29,"N638VA","JFK","SFO",386,2586,18,55,2013-01-23 18:00:00
2013,1,23,1949,1950,-1,2359,2335,24,"B6",645,"N625JB","JFK","SFO",384,2586,19,50,2013-01-23 19:00:00
2013,1,24,713,715,-2,1044,1040,4,"UA",799,"N517UA","JFK","SFO",362,2586,7,15,2013-01-24 07:00:00
2013,1,24,745,745,0,1132,1125,7,"AA",59,"N386AA","JFK","SFO",384,2586,7,45,2013-01-24 07:00:00
2013,1,24,745,747,-2,1128,1126,2,"B6",643,"N806JB","JFK","SFO",381,2586,7,47,2013-01-24 07:00:00
2013,1,24,1029,1031,-2,1412,1403,9,"B6",641,"N636JB","JFK","SFO",375,2586,10,31,2013-01-24 10:00:00
2013,1,24,1031,1030,1,1437,1355,42,"AA",179,"N380AA","JFK","SFO",393,2586,10,30,2013-01-24 10:00:00
2013,1,24,1056,1100,-4,1428,1425,3,"UA",642,"N532UA","JFK","SFO",370,2586,11,0,2013-01-24 11:00:00
2013,1,24,1427,1429,-2,1816,1754,22,"UA",257,"N510UA","JFK","SFO",387,2586,14,29,2013-01-24 14:00:00
2013,1,24,1528,1430,58,1930,1815,75,"DL",2126,"N721TW","JFK","SFO",381,2586,14,30,2013-01-24 14:00:00
2013,1,24,1631,1630,1,2047,2020,27,"VX",27,"N839VA","JFK","SFO",391,2586,16,30,2013-01-24 16:00:00
2013,1,24,1651,1700,-9,2116,2049,27,"DL",31,"N722TW","JFK","SFO",391,2586,17,0,2013-01-24 17:00:00
2013,1,24,1724,1725,-1,2149,2050,59,"UA",512,"N525UA","JFK","SFO",385,2586,17,25,2013-01-24 17:00:00
2013,1,24,1745,1745,0,2152,2120,32,"AA",177,"N335AA","JFK","SFO",384,2586,17,45,2013-01-24 17:00:00
2013,1,24,1827,1830,-3,2211,2202,9,"UA",272,"N560UA","JFK","SFO",373,2586,18,30,2013-01-24 18:00:00
2013,1,24,1851,1855,-4,2309,2245,24,"VX",29,"N640VA","JFK","SFO",389,2586,18,55,2013-01-24 18:00:00
2013,1,24,1857,1900,-3,2318,2301,17,"DL",1465,"N705TW","JFK","SFO",384,2586,19,0,2013-01-24 19:00:00
2013,1,24,2003,1950,13,23,2335,48,"B6",645,"N763JB","JFK","SFO",391,2586,19,50,2013-01-24 19:00:00
2013,1,25,557,600,-3,932,925,7,"UA",303,"N532UA","JFK","SFO",365,2586,6,0,2013-01-25 06:00:00
2013,1,25,654,700,-6,1047,1045,2,"DL",1865,"N723TW","JFK","SFO",369,2586,7,0,2013-01-25 07:00:00
2013,1,25,708,715,-7,1110,1040,30,"UA",799,"N517UA","JFK","SFO",382,2586,7,15,2013-01-25 07:00:00
2013,1,25,741,745,-4,1129,1125,4,"AA",59,"N380AA","JFK","SFO",382,2586,7,45,2013-01-25 07:00:00
2013,1,25,904,800,64,1234,1125,69,"UA",397,"N502UA","JFK","SFO",361,2586,8,0,2013-01-25 08:00:00
2013,1,25,1024,1030,-6,1359,1355,4,"AA",179,"N346AA","JFK","SFO",370,2586,10,30,2013-01-25 10:00:00
2013,1,25,1035,1031,4,1415,1403,12,"B6",641,"N583JB","JFK","SFO",365,2586,10,31,2013-01-25 10:00:00
2013,1,25,1425,1429,-4,1801,1754,7,"UA",257,"N512UA","JFK","SFO",369,2586,14,29,2013-01-25 14:00:00
2013,1,25,1442,1430,12,1830,1815,15,"DL",2126,"N624AG","JFK","SFO",364,2586,14,30,2013-01-25 14:00:00
2013,1,25,1740,1745,-5,2157,2120,37,"AA",177,"N336AA","JFK","SFO",365,2586,17,45,2013-01-25 17:00:00
2013,1,25,1842,1830,12,2225,2202,23,"UA",272,"N525UA","JFK","SFO",355,2586,18,30,2013-01-25 18:00:00
2013,1,25,1848,1855,-7,2252,2245,7,"VX",29,"N633VA","JFK","SFO",372,2586,18,55,2013-01-25 18:00:00
2013,1,25,1947,1900,47,2342,2301,41,"DL",1465,"N722TW","JFK","SFO",360,2586,19,0,2013-01-25 19:00:00
2013,1,25,1947,1950,-3,2346,2335,11,"B6",645,"N775JB","JFK","SFO",366,2586,19,50,2013-01-25 19:00:00
2013,1,26,616,600,16,1019,927,52,"UA",303,"N502UA","JFK","SFO",371,2586,6,0,2013-01-26 06:00:00
2013,1,26,653,700,-7,1051,1045,6,"DL",1865,"N706TW","JFK","SFO",368,2586,7,0,2013-01-26 07:00:00
2013,1,26,754,747,7,1154,1126,28,"B6",643,"N636JB","JFK","SFO",373,2586,7,47,2013-01-26 07:00:00
2013,1,26,757,800,-3,1154,1130,24,"UA",799,"N560UA","JFK","SFO",373,2586,8,0,2013-01-26 08:00:00
2013,1,26,827,745,42,1220,1125,55,"AA",59,"N380AA","JFK","SFO",373,2586,7,45,2013-01-26 07:00:00
2013,1,26,1056,1030,26,1422,1355,27,"AA",179,"N349AA","JFK","SFO",360,2586,10,30,2013-01-26 10:00:00
2013,1,26,1058,1100,-2,1428,1425,3,"UA",642,"N510UA","JFK","SFO",366,2586,11,0,2013-01-26 11:00:00
2013,1,26,1423,1430,-7,1828,1815,13,"DL",2126,"N710TW","JFK","SFO",361,2586,14,30,2013-01-26 14:00:00
2013,1,26,1428,1430,-2,1824,1755,29,"UA",394,"N505UA","JFK","SFO",374,2586,14,30,2013-01-26 14:00:00
2013,1,26,1538,1530,8,1931,1910,21,"AA",85,"N398AA","JFK","SFO",369,2586,15,30,2013-01-26 15:00:00
2013,1,26,1816,1725,51,2151,2055,56,"UA",512,"N525UA","JFK","SFO",357,2586,17,25,2013-01-26 17:00:00
2013,1,26,1949,1950,-1,2353,2335,18,"B6",645,"N646JB","JFK","SFO",380,2586,19,50,2013-01-26 19:00:00
2013,1,27,555,559,-4,933,930,3,"UA",691,"N512UA","JFK","SFO",365,2586,5,59,2013-01-27 05:00:00
2013,1,27,739,747,-8,1133,1126,7,"B6",643,"N638JB","JFK","SFO",383,2586,7,47,2013-01-27 07:00:00
2013,1,27,1038,1031,7,1435,1403,32,"B6",641,"N652JB","JFK","SFO",383,2586,10,31,2013-01-27 10:00:00
2013,1,28,648,600,48,1019,925,54,"UA",303,"N508UA","JFK","SFO",361,2586,6,0,2013-01-28 06:00:00
2013,1,28,710,715,-5,1046,1040,6,"UA",799,"N532UA","JFK","SFO",361,2586,7,15,2013-01-28 07:00:00
2013,1,28,1029,1031,-2,1405,1403,2,"B6",641,"N630JB","JFK","SFO",359,2586,10,31,2013-01-28 10:00:00
2013,1,28,1101,1100,1,1454,1425,29,"UA",642,"N557UA","JFK","SFO",361,2586,11,0,2013-01-28 11:00:00
2013,1,28,1106,1030,36,1440,1355,45,"AA",179,"N342AA","JFK","SFO",363,2586,10,30,2013-01-28 10:00:00
2013,1,28,2012,1950,22,2340,2335,5,"B6",645,"N789JB","JFK","SFO",367,2586,19,50,2013-01-28 19:00:00
2013,1,29,600,600,0,936,925,11,"UA",303,"N532UA","JFK","SFO",363,2586,6,0,2013-01-29 06:00:00
2013,1,29,728,715,13,1050,1040,10,"UA",799,"N557UA","JFK","SFO",360,2586,7,15,2013-01-29 07:00:00
2013,1,29,758,800,-2,1129,1125,4,"UA",397,"N512UA","JFK","SFO",368,2586,8,0,2013-01-29 08:00:00
2013,1,29,1711,1530,101,2044,1910,94,"AA",85,"N396AA","JFK","SFO",366,2586,15,30,2013-01-29 15:00:00
2013,1,29,1722,1725,-3,2052,2050,2,"UA",512,"N505UA","JFK","SFO",362,2586,17,25,2013-01-29 17:00:00
2013,1,29,1742,1745,-3,2137,2120,17,"AA",177,"N338AA","JFK","SFO",365,2586,17,45,2013-01-29 17:00:00
2013,1,30,557,600,-3,938,925,13,"UA",303,"N525UA","JFK","SFO",364,2586,6,0,2013-01-30 06:00:00
2013,1,30,711,715,-4,1052,1040,12,"UA",799,"N512UA","JFK","SFO",360,2586,7,15,2013-01-30 07:00:00
2013,1,30,812,800,12,1132,1125,7,"UA",397,"N508UA","JFK","SFO",343,2586,8,0,2013-01-30 08:00:00
2013,1,30,1426,1429,-3,1801,1754,7,"UA",257,"N502UA","JFK","SFO",363,2586,14,29,2013-01-30 14:00:00
2013,1,30,1725,1725,0,2057,2050,7,"UA",512,"N510UA","JFK","SFO",354,2586,17,25,2013-01-30 17:00:00
2013,1,30,2031,1855,96,2342,2245,57,"VX",29,"N638VA","JFK","SFO",348,2586,18,55,2013-01-30 18:00:00
2013,1,31,713,715,-2,1049,1040,9,"UA",799,"N508UA","JFK","SFO",347,2586,7,15,2013-01-31 07:00:00
2013,1,31,826,747,39,1151,1126,25,"B6",643,"N715JB","JFK","SFO",355,2586,7,47,2013-01-31 07:00:00
2013,1,31,1739,1630,69,2125,2020,65,"VX",27,"N837VA","JFK","SFO",377,2586,16,30,2013-01-31 16:00:00
2013,1,31,1745,1745,0,2141,2120,21,"AA",177,"N339AA","JFK","SFO",359,2586,17,45,2013-01-31 17:00:00
2013,1,31,1843,1830,13,2223,2202,21,"UA",272,"N502UA","JFK","SFO",349,2586,18,30,2013-01-31 18:00:00
2013,1,31,1908,1855,13,2308,2245,23,"VX",29,"N641VA","JFK","SFO",366,2586,18,55,2013-01-31 18:00:00
2013,10,1,1650,1530,80,1930,1854,36,"UA",257,"N588UA","JFK","SFO",321,2586,15,30,2013-10-01 15:00:00
2013,10,2,1333,1300,33,1626,1622,4,"DL",432,"N710TW","JFK","SFO",332,2586,13,0,2013-10-02 13:00:00
2013,10,2,1528,1530,-2,1855,1854,1,"UA",257,"N590UA","JFK","SFO",342,2586,15,30,2013-10-02 15:00:00
2013,10,2,1528,1530,-2,1851,1845,6,"AA",85,"N377AA","JFK","SFO",335,2586,15,30,2013-10-02 15:00:00
2013,10,2,2043,2025,18,2351,2350,1,"B6",915,"N649JB","JFK","SFO",339,2586,20,25,2013-10-02 20:00:00
2013,10,3,739,740,-1,1101,1055,6,"VX",11,"N853VA","JFK","SFO",361,2586,7,40,2013-10-03 07:00:00
2013,10,3,743,745,-2,1111,1100,11,"AA",59,"N353AA","JFK","SFO",367,2586,7,45,2013-10-03 07:00:00
